title,date,ICE Bed Capacity,Average ICE Population,Adult Male Population,Adult Female Population
"Seneca County Jail – Mar. 5–7, 2024","Jan 10
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 River Correctional Center, Ferriday, LA - Nov. 19-21, 2024","Jan 10
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Plymouth County Correctional Facility, Plymouth, MA - Nov. 19-21, 2024","Dec 30
2024",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Montgomery ICE Processing Center, Conroe, TX - Dec. 3-5, 2024","Dec 30
2024",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR22D00000002 P00017-P00019: Port Isabel SPC (NEW) IGSA – Los Fresnos, TX","Dec 20
2024",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR24D00000009 BASE-P00002: Krome SPC IGSA – Miami, FL","Dec 20
2024",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR24DIG000003 P00002: Caroline County IGSA – Bowling Green, VA","Dec 20
2024",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR24DIG000004 BASE: Kay County IGSA – Newkirk, OK","Dec 20
2024",REDACTED,REDACTED,REDACTED,REDACTED
"DROIGSA-07-0015 P00050-P00051: Alexandria Staging Facility IGSA – Jena, LA","Dec 20
2024",REDACTED,REDACTED,REDACTED,REDACTED
"EROIGSA-17-0003 P00022-P00023: Cibola County Correctional Center IGSA – Milan, NM","Dec 20
2024",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR19DIG000016 P00020-P00022: Adams County Correctional Center IGSA - Natchez, MS","Dec 20
2024",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR19DIG000017 P00034-P00036: Jones County (Bluebonnet Detention Facility) IGSA – Anson, TX","Dec 20
2024",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Richwood Correctional Center, Monroe, LA - Nov. 5-7, 2024","Dec 16
2024",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Washoe County Jail, Reno, NV - Nov. 5-7, 2024","Dec 13
2024",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Eloy Federal Contract Facility, Eloy, AZ - Oct. 29-31, 2024","Dec 12
2024",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Buffalo (Batavia) Service Processing Center, Batavia, NY - Oct. 29-31, 2024","Dec 12
2024",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Boone County Jail, Burlington, KY - Nov. 19-21, 2024","Dec 12
2024",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Seneca County Jail, Tiffin, OH - Oct. 29-31, 2024","Dec 09
2024",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Otay Mesa Detention Center (San Diego CDF), San Diego, CA - Nov. 5-7, 2024","Dec 09
2024",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Baker County Sheriff’s Office, Macclenny, FL - Oct. 22-24, 2024","Dec 09
2024",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Pottawattamie County Jail, Council Bluffs, IA - Oct. 22-24, 2024","Nov 27
2024",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Otero County Processing Center, Chaparral, NM - Nov. 5-7, 2024","Nov 26
2024",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Torrance County Detention Facility, Estancia, NM - Oct. 22-24, 2024","Nov 21
2024",REDACTED,REDACTED,REDACTED,REDACTED
"2024 Madison County Jail, Canton, MS - Sep. 24-26, 2024","Nov 21
2024",REDACTED,4,REDACTED,REDACTED
"2024 Knox County Detention Facility, Knoxville, TN - Sep. 24-26, 2024","Nov 21
2024",REDACTED,2,REDACTED,REDACTED
"HSCEDM-14-D-00002 P00034-P00035: Krome SPC – Miami, FL","Nov 20
2024",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR20D00000004 P00017-P00020: Florence SPC – Florence, AZ","Nov 20
2024",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR20D00000013 P00015-P00016: T. Don Hutto Correctional Center CDF – Taylor, TX","Nov 20
2024",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR22D0000012 P00009: El Paso SPC – El Paso, TX","Nov 20
2024",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR23C00000001 P00014-P00017: GITMO – Guantanamo, CU","Nov 20
2024",REDACTED,REDACTED,REDACTED,REDACTED
"DROIGSA-06-00005 Updated IGSA P00056-P00057: Stewart County IGSA – Lumpkin, GA","Nov 20
2024",REDACTED,REDACTED,REDACTED,REDACTED
"2024 Pinellas County Jail, Clearwater, FL - Sep. 24-26, 2024","Nov 20
2024",REDACTED,REDACTED,REDACTED,REDACTED
"2024 South Central Regional Jail, Charleston, WV - Sep. 24-26, 2024","Nov 20
2024",REDACTED,4,REDACTED,REDACTED
"2024 Limestone County Detention Center, Groesbeck, TX - Sep. 24-26, 2024","Nov 20
2024",REDACTED,REDACTED,REDACTED,REDACTED
"2024 San Luis Regional Detention Center, San Luis, AZ - Sep. 24-26, 2024","Nov 19
2024",REDACTED,REDACTED,REDACTED,REDACTED
"2024 Salt Lake County Metro Jail, Salt Lake City, UT - Sep. 24-26, 2024","Nov 18
2024",REDACTED,REDACTED,REDACTED,REDACTED
"2024 Karnes County Immigration Processing Center, Karnes City, TX - Sep. 17-19, 2024","Nov 14
2024",REDACTED,REDACTED,REDACTED,REDACTED
