name,field_office,street,city,state,zipcode,Latitude,Longitude
Golden State Annex,San Francisco Field Office,611 Frontage Road,McFarland,CA,93250,35.6697644,-119.2278172
Grand Forks County Correctional Center,St. Paul Field Office,1701 North Washington,Grand Forks,ND,58203,47.935621,-97.0576258
Grayson County Detention Center,Chicago Field Office,320 Shaw Station Road,Leachfield,KY,42754,37.4890253,-86.27049819999999
Greene County Jail,Chicago Field Office,1199 N Haseltine Road,Springfield,MO,65802,37.22463949999999,-93.38616619999999
"Guam Department of Corrections, Hagatna Detention Facility",San Francisco Field Office,203 Aspinall Avenue,Hagatna,GU,96910,13.4753786,144.7504213
Henderson Detention Center,Salt Lake City Field Office,18 E. Basic Road,Henderson,NV,89015,36.0309509,-114.9787348
Hopkins County Jail,Chicago Field Office,2250 Laffoon Trl,Madisonville,KY,42431,37.3377164,-87.54017809999999
Houston Contract Detention Facility,Houston Field Office,15850 Export Plaza Drive,Houston,TX,77032,29.9497807,-95.31226939999999
IAH Polk Adult Detention Facility,Houston Field Office,3400 FM 350 South,Livingston,TX,77351,30.6962672,-95.00565739999999
Imperial Regional Detention Facility,San Diego Field Office,1572 Gateway Road,Calexico,CA,92231,32.6901156,-115.3975363
Jackson Parish Correctional Center,New Orleans Field Office,287 Industrial Drive,Jonesboro,LA,71251,32.215231,-92.7158968
Joe Corley Processing Center,Houston Field Office,500 Hilbig Road,Conroe,TX,77301,30.3357896,-95.4480609
Kandiyohi County Jail,St. Paul Field Office,2201 23rd St. NE,Willmar,MN,56201,45.145351,-95.013798
Karnes County Immigration Processing Center,San Antonio Field Office,409 FM 1144,Karnes City,TX,78118,28.8849772,-97.9008355
Kay County Detention Center,Chicago Field Office,1101 West Dry Road,Newkirk,OK,74647,36.8678591,-97.0691621
Krome North Service Processing Center,Miami Field Office,18201 SW 12th Street,Miami,FL,33194,25.7543477,-80.4891143
Limestone County Detention Center,Houston Field Office,910 North Tyus Street,Groesbeck,TX,76642,31.5268364,-96.51481919999999
Mahoning County Justice Center,Detroit Field Office,110 Fifth Avenue,Youngstown,OH,44503,41.1042306,-80.6549256
Mesa Verde ICE Processing Center,San Francisco Field Office,425 Golden State Avenue,Bakersfield,CA,93301,35.3799739,-119.0064452
Monroe County Jail,Detroit Field Office,7000 East Dunbar Road,Monroe,MI,48161,41.894985,-83.393204
Montgomery Processing Center,Houston Field Office,806 Hilbig Road,Conroe,TX,77301,30.336088,-95.44250459999999
Moshannon Valley Processing Center,Philadelphia Field Office,555 GEO Drive,Philipsburg,PA,16866,40.9212322,-78.2421686
Naval Station Guantanamo Bay (JTF Camp Six and Migrant Ops Center Main A),Miami Field Office,,,,,29.730276,-95.4097211
Nevada Southern Detention Center,Salt Lake City Field Office,2190 E Mesquite Avenue,Pahrump,NV,89048,36.252992,-115.975308
Northeast Ohio Correctional Center,Detroit Field Office,2240 Hubbard Road,Youngstown,OH,44505,41.1289599,-80.6268298
Northwest ICE Processing Center (NWIPC),Seattle Field Office,"1623 E J Street, Suite 2",Tacoma,WA,98421-1615,47.2492353,-122.4212095
