name,field_office,street,city,state,zipcode
Limestone County Detention Center,Houston Field Office,910 North Tyus Street,Groesbeck,TX,76642
Mahoning County Justice Center,Detroit Field Office,110 Fifth Avenue,Youngstown,OH,44503
Mesa Verde ICE Processing Center,San Francisco Field Office,425 Golden State Avenue,Bakersfield,CA,93301
Monroe County Jail,Detroit Field Office,7000 East Dunbar Road,Monroe,MI,48161
Montgomery Processing Center,Houston Field Office,806 Hilbig Road,Conroe,TX,77301
Moshannon Valley Processing Center,Philadelphia Field Office,555 GEO Drive,Philipsburg,PA,16866
Naval Station Guantanamo Bay (JTF Camp Six and Migrant Ops Center Main A),Miami Field Office,,,,
Nevada Southern Detention Center,Salt Lake City Field Office,2190 E Mesquite Avenue,Pahrump,NV,89048
Northeast Ohio Correctional Center,Detroit Field Office,2240 Hubbard Road,Youngstown,OH,44505
Northwest ICE Processing Center (NWIPC),Seattle Field Office,"1623 E J Street, Suite 2",Tacoma,WA,98421-1615
Oldham County Detention Center,Chicago Field Office,3405 West Highway 146,LaGrange,KY,40031
Orange County Jail,New York City Field Office,110 Wells Farm Road,Goshen,NY,10924
Otay Mesa Detention Center,San Diego Field Office,7488 Calzada de la Fuente,San Diego,CA,92154
Otero County Processing Center,El Paso Field Office,26 McGregor Range Road,Chaparral,NM,88081
Pennington County Jail,St. Paul Field Office,307 Saint Joseph St,Rapid City,SD,57701
Phelps County Jail,St. Paul Field Office,715 5th Avenue,Holdrege,NE,68949
Phelps County Jail,Chicago Field Office,500 W. 2nd Street,Rolla,MO,65401
Pike County Correctional Facility,Philadelphia Field Office,175 Pike County Blvd.,Lords Valley,PA,18428
Pine Prairie ICE Processing Center,New Orleans Field Office,1133 Hampton Dupre Road,Pine Prairie,LA,70576
Plymouth County Correctional Facility,Boston Field Office,26 Long Pond Road,Plymouth,MA,02360
Polk County Jail,St. Paul Field Office,1985 NE 51st Place,Des Moines,IA,50313
Port Isabel Service Processing Center,Harlingen Field Office,27991 Buena Vista Blvd.,Los Fresnos,TX,78566
