category,casecount,subcounty,county,state
county,7015,,St. Lucie County,Florida
county,456,,Santa Rosa County,Florida
county,6215,,Sarasota County,Florida
county,4458,,Seminole County,Florida
county,480,,Sumter County,Alabama
county,537,,Suwannee County,Florida
county,60,,Taylor County,Florida
county,49,,Union County,Arkansas
county,3135,,Volusia County,Florida
county,51,,Wakulla County,Florida
county,1606,,Walton County,Florida
county,42,,Washington County,Alabama
county,117,,Appling County,Georgia
county,118,,Atkinson County,Georgia
county,73,,Bacon County,Georgia
county,8,,Baker County,Florida
county,184,,Baldwin County,Alabama
county,171,,Banks County,Georgia
county,916,,Barrow County,Georgia
county,980,,Bartow County,Georgia
county,48,,Ben Hill County,Georgia
county,56,,Berrien County,Georgia
county,686,,Bibb County,Alabama
county,8,,Bleckley County,Georgia
county,36,,Brantley County,Georgia
county,108,,Brooks County,Georgia
county,137,,Bryan County,Georgia
county,162,,Bulloch County,Georgia
county,30,,Burke County,Georgia
county,47,,Butts County,Georgia
county,6,,Calhoun County,Alabama
county,23,,Camden County,Georgia
county,49,,Candler County,Georgia
county,936,,Carroll County,Arkansas
county,131,,Catoosa County,Georgia
county,551,,Charlton County,Georgia
county,4888,,Chatham County,Georgia
county,5,,Chattahoochee County,Georgia
county,45,,Chattooga County,Georgia
county,2013,,Cherokee County,Alabama
county,1359,,Clarke County,Alabama
county,0,,Clay County,Alabama
county,4230,,Clayton County,Georgia
county,17,,Clinch County,Georgia
county,10900,,Cobb County,Georgia
county,389,,Coffee County,Alabama
county,655,,Colquitt County,Georgia
county,395,,Columbia County,Arkansas
county,60,,Cook County,Georgia
county,662,,Coweta County,Georgia
county,30,,Crawford County,Arkansas
county,131,,Crisp County,Georgia
county,13,,Dade County,Georgia
county,107,,Dawson County,Georgia
county,67,,Decatur County,Georgia
county,12902,,DeKalb County,Alabama
county,38,,Dodge County,Georgia
county,87,,Dooly County,Georgia
county,258,,Dougherty County,Georgia
county,1101,,Douglas County,Colorado
county,11,,Early County,Georgia
county,20,,Echols County,Georgia
county,295,,Effingham County,Georgia
county,97,,Elbert County,Colorado
county,61,,Emanuel County,Georgia
county,249,,Evans County,Georgia
county,34,,Fannin County,Georgia
county,422,,Fayette County,Alabama
county,625,,Floyd County,Georgia
county,1251,,Forsyth County,Georgia
county,107,,Franklin County,Alabama
county,8454,,Fulton County,Arkansas
county,235,,Gilmer County,Georgia
county,0,,Glascock County,Georgia
county,1022,,Glynn County,Georgia
county,604,,Gordon County,Georgia
county,302,,Grady County,Georgia
county,122,,Greene County,Alabama
county,27852,,Gwinnett County,Georgia
county,547,,Habersham County,Georgia
county,5076,,Hall County,Georgia
county,5,,Hancock County,Georgia
county,30,,Haralson County,Georgia
county,42,,Harris County,Georgia
county,104,,Hart County,Georgia
county,9,,Heard County,Georgia
county,1138,,Henry County,Alabama
county,830,,Houston County,Alabama
county,19,,Irwin County,Georgia
county,502,,Jackson County,Alabama
county,39,,Jasper County,Georgia
county,97,,Jeff Davis County,Georgia
county,36,,Jefferson County,Alabama
county,13,,Jenkins County,Georgia
county,1,,Johnson County,Arkansas
county,31,,Jones County,Georgia
county,19,,Lamar County,Alabama
county,15,,Lanier County,Georgia
county,115,,Laurens County,Georgia
county,54,,Lee County,Alabama
county,134,,Liberty County,Florida
county,8,,Lincoln County,Arkansas
county,55,,Long County,Georgia
county,483,,Lowndes County,Alabama
county,83,,Lumpkin County,Georgia
county,38,,McDuffie County,Georgia
county,7,,McIntosh County,Georgia
county,76,,Macon County,Alabama
county,126,,Madison County,Alabama
county,9,,Marion County,Alabama
county,20,,Meriwether County,Georgia
county,3,,Miller County,Arkansas
county,69,,Mitchell County,Georgia
county,44,,Monroe County,Alabama
county,15,,Montgomery County,Alabama
county,59,,Morgan County,Alabama
county,267,,Murray County,Georgia
county,993,,Muscogee County,Georgia
county,436,,Newton County,Arkansas
county,115,,Oconee County,Georgia
county,57,,Oglethorpe County,Georgia
county,645,,Paulding County,Georgia
county,103,,Peach County,Georgia
county,40,,Pickens County,Alabama
county,72,,Pierce County,Georgia
county,20,,Pike County,Alabama
county,386,,Polk County,Arkansas
county,23,,Pulaski County,Arkansas
county,151,,Putnam County,Florida
county,0,,Quitman County,Georgia
county,100,,Rabun County,Georgia
county,8,,Randolph County,Alabama
county,651,,Richmond County,Georgia
county,613,,Rockdale County,Georgia
county,1,,Schley County,Georgia
county,13,,Screven County,Georgia
county,10,,Seminole County,Florida
county,317,,Spalding County,Georgia
county,61,,Stephens County,Georgia
county,1409,,Stewart County,Georgia
county,350,,Sumter County,Alabama
county,2,,Talbot County,Georgia
county,4,,Taliaferro County,Georgia
county,283,,Tattnall County,Georgia
county,0,,Taylor County,Florida
county,19,,Telfair County,Georgia
county,2,,Terrell County,Georgia
county,78,,Thomas County,Georgia
county,174,,Tift County,Georgia
county,115,,Toombs County,Georgia
county,14,,Towns County,Georgia
county,9,,Treutlen County,Georgia
county,918,,Troup County,Georgia
county,27,,Turner County,Georgia
county,7,,Twiggs County,Georgia
county,37,,Union County,Arkansas
county,54,,Upson County,Georgia
county,178,,Walker County,Alabama
county,384,,Walton County,Florida
county,242,,Ware County,Georgia
county,4,,Warren County,Georgia
county,3,,Washington County,Alabama
county,86,,Wayne County,Georgia
county,0,,Webster County,Georgia
county,11,,Wheeler County,Georgia
county,24,,White County,Arkansas
county,1804,,Whitfield County,Georgia
county,13,,Wilcox County,Alabama
county,43,,Wilkes County,Georgia
county,5,,Wilkinson County,Georgia
county,23,,Worth County,Georgia
county,146,,Hawaii County,Hawaii
county,885,,Honolulu County,Hawaii
county,0,,Kalawao County,Hawaii
county,60,,Kauai County,Hawaii
county,219,,Maui County,Hawaii
county,3155,,Ada County,Idaho
county,4,,Adams County,Colorado
county,76,,Bannock County,Idaho
county,14,,Bear Lake County,Idaho
county,0,,Benewah County,Idaho
county,237,,Bingham County,Idaho
county,1258,,Blaine County,Idaho
county,5,,Boise County,Idaho
county,1,,Bonner County,Idaho
county,611,,Bonneville County,Idaho
county,3,,Boundary County,Idaho
county,0,,Butte County,California
county,8,,Camas County,Idaho
county,2801,,Canyon County,Idaho
county,27,,Caribou County,Idaho
county,383,,Cassia County,Idaho
county,12,,Clark County,Arkansas
county,0,,Clearwater County,Idaho
county,0,,Custer County,Colorado
county,112,,Elmore County,Alabama
county,78,,Franklin County,Alabama
county,118,,Fremont County,Colorado
county,129,,Gem County,Idaho
county,439,,Gooding County,Idaho
county,0,,Idaho County,Idaho
county,171,,Jefferson County,Alabama
county,805,,Jerome County,Idaho
county,107,,Kootenai County,Idaho
county,12,,Latah County,Idaho
county,8,,Lemhi County,Idaho
county,4,,Lewis County,Idaho
county,207,,Lincoln County,Arkansas
county,104,,Madison County,Alabama
county,302,,Minidoka County,Idaho
county,6,,Nez Perce County,Idaho
county,0,,Oneida County,Idaho
county,89,,Owyhee County,Idaho
county,118,,Payette County,Idaho
county,41,,Power County,Idaho
county,0,,Shoshone County,Idaho
county,400,,Teton County,Idaho
county,480,,Twin Falls County,Idaho
county,121,,Valley County,Idaho
county,66,,Washington County,Alabama
county,69,,Adams County,Colorado
county,0,,Alexander County,Illinois
county,1,,Bond County,Illinois
county,472,,Boone County,Arkansas
county,1,,Brown County,Illinois
county,178,,Bureau County,Illinois
county,11,,Calhoun County,Alabama
county,7,,Carroll County,Arkansas
county,267,,Cass County,Illinois
county,1933,,Champaign County,Illinois
county,11,,Christian County,Illinois
county,15,,Clark County,Arkansas
county,9,,Clay County,Alabama
county,77,,Clinton County,Illinois
county,184,,Coles County,Illinois
county,113717,,Cook County,Georgia
county,11,,Crawford County,Arkansas
county,0,,Cumberland County,Illinois
county,387,,DeKalb County,Alabama
county,10,,De Witt County,Illinois
county,65,,Douglas County,Colorado
county,11429,,DuPage County,Illinois
county,10,,Edgar County,Illinois
county,17,,Edwards County,Illinois
county,153,,Effingham County,Georgia
county,11,,Fayette County,Alabama
